no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
150,149,레몬 :권여선 장편소설 ,지은이: 권여선,창비,2019,9788936434366,03810,,813.7,문학 > 한국문학 > 소설,94,https://image.aladin.co.kr/product/18910/79/cover/8936434365_1.jpg,https://data4library.kr/bookV?seq=5393638
151,149,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,2000,9788937460449,04850,44,853,문학 > 독일문학 > 소설,94,https://bookthumb-phinf.pstatic.net/cover/000/051/00005186.jpg?type=m1&udate=20160509,https://data4library.kr/bookV?seq=2374415
152,149,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009,9788954608640,04830,1,833.6,문학 > 일본문학 > 소설,94,https://bookthumb-phinf.pstatic.net/cover/060/537/06053729.jpg?type=m1&udate=20130406,https://data4library.kr/bookV?seq=2370295
153,149,IT 좀 아는 사람 :비전공자도 IT 전문가처럼 생각하는 법 ,"닐 메타,김고명 옮김",윌북,2021,9791155813355,03320,,004,총류 > 총류 > 전산학,94,https://image.aladin.co.kr/product/26094/5/cover/k792737250_2.jpg,https://data4library.kr/bookV?seq=5851202
154,149,죽여 마땅한 사람들 ,피터 스완슨 지음 ;노진선 옮김,푸른숲,2016,9791156756552,03840,,843.6,문학 > 영미문학 > 소설,94,https://bookthumb-phinf.pstatic.net/cover/107/698/10769874.jpg?type=m1&udate=20171128,https://data4library.kr/bookV?seq=3202062
155,149,숨 :테드 창 소설 ,지은이: 테드 창 ;옮긴이: 김상훈,북하우스 퍼블리셔스,2019,9791164050277,03840,,843.6,문학 > 영미문학 > 소설,94,https://image.aladin.co.kr/product/19102/59/cover/k492635392_1.jpg,https://data4library.kr/bookV?seq=5404490
156,156,두 번째 지구는 없다 ,글·그림: 타일러 라쉬,RHK(알에이치코리아),2020,9788925556253,03300,,539.92,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학",93,https://image.aladin.co.kr/product/24615/44/cover/8925556251_1.jpg,https://data4library.kr/bookV?seq=5709275
157,156,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 ,유현준 지음,을유문화사,2020,9788932474274,03540,,540.04,기술과학 > 건축공학 > 건축공학,93,https://image.aladin.co.kr/product/23776/63/cover/8932474273_1.jpg,https://data4library.kr/bookV?seq=5652913
158,156,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석,문학동네,2015,9788954637756,03300,,304,"사회과학 > 사회과학 > 강연집, 수필집, 연설문집",93,https://bookthumb-phinf.pstatic.net/cover/095/957/09595780.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=2869604
159,156,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129815,04840,1,843.6,문학 > 영미문학 > 소설,93,https://bookthumb-phinf.pstatic.net/cover/134/282/13428208.jpg?type=m1&udate=20180331,https://data4library.kr/bookV?seq=3723218
160,156,"여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우",위즈덤하우스,2019,9791189709815,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,93,https://image.aladin.co.kr/product/18228/18/cover/s292534548_1.jpg,https://data4library.kr/bookV?seq=5367455
161,161,용의자 X의 헌신 ,히가시노 게이고 지음 ;양억관 옮김,재인,2017,9788990982704,03830,,833.6,문학 > 일본문학 > 소설,92,https://bookthumb-phinf.pstatic.net/cover/124/818/12481857.jpg?type=m1&udate=20170914,https://data4library.kr/bookV?seq=3541024
162,162,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음,웅진씽크빅,2018,9788901223032,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,91,http://image.aladin.co.kr/product/14231/53/cover/8901223031_1.jpg,https://data4library.kr/bookV?seq=3743307
163,162,이만큼 가까이 :정세랑 장편소설 ,지은이: 정세랑,창비,2014,9788936434106,03810,,813.7,문학 > 한국문학 > 소설,91,http://image.aladin.co.kr/product/3819/1/cover/8936434101_1.jpg,https://data4library.kr/bookV?seq=2028188
164,162,네 이웃의 식탁 :구병모 장편소설 ,지은이: 구병모,민음사,2018,9788937473197,04810,,813.7,문학 > 한국문학 > 소설,91,https://image.aladin.co.kr/product/14953/80/cover/8937473194_1.jpg,https://data4library.kr/bookV?seq=3766378
165,162,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅,바이포엠,2020,9791196814342,03830,,833.6,문학 > 일본문학 > 소설,91,https://image.aladin.co.kr/product/23456/61/cover/k612638684_1.jpg,https://data4library.kr/bookV?seq=5611361
